komentar;cleaning;tokenize;normalize;stopword;stemming
Air terjun di wilayah Sampang Madura yg langsung bermuara di laut utara Madura;Air terjun di wilayah Sampang Madura yg langsung bermuara di laut utara Madura;['air', 'terjun', 'di', 'wilayah', 'sampang', 'madura', 'yg', 'langsung', 'bermuara', 'di', 'laut', 'utara', 'madura'];['air', 'terjun', 'di', 'wilayah', 'sampang', 'madura', 'yang', 'langsung', 'bermuara', 'di', 'laut', 'utara', 'madura'];['air', 'terjun', 'wilayah', 'sampang', 'madura', 'langsung', 'bermuara', 'laut', 'utara', 'madura'];['air', 'terjun', 'wilayah', 'sampang', 'madura', 'langsung', 'muara', 'laut', 'utara', 'madura']
Sangat senang;Sangat senang;['sangat', 'senang'];['sangat', 'senang'];['senang'];['senang']
???? …;;[];[];[];['nyaman', 'enak']
Nyaman enak;Nyaman enak;['nyaman', 'enak'];['nyaman', 'enak'];['nyaman', 'enak'];['destinasi', 'wisata', 'air', 'terjun', 'pinggir', 'pantai', 'utara', 'kabupaten', 'sampang']
Destinasi wisata air terjun di pinggir pantai utara kabupaten sampang;Destinasi wisata air terjun di pinggir pantai utara kabupaten sampang;['destinasi', 'wisata', 'air', 'terjun', 'di', 'pinggir', 'pantai', 'utara', 'kabupaten', 'sampang'];['destinasi', 'wisata', 'air', 'terjun', 'di', 'pinggir', 'pantai', 'utara', 'kabupaten', 'sampang'];['destinasi', 'wisata', 'air', 'terjun', 'pinggir', 'pantai', 'utara', 'kabupaten', 'sampang'];['tempat', 'nyaman', 'mudah', 'jangkau']
tempatnya nyaman, mudah dijangkau;tempatnya nyaman mudah dijangkau;['tempatnya', 'nyaman', 'mudah', 'dijangkau'];['tempatnya', 'nyaman', 'mudah', 'dijangkau'];['tempatnya', 'nyaman', 'mudah', 'dijangkau'];['pengin', 'kesini', 'mantap']
Pengen kesini lagi soalnya udah lebih mantep....;Pengen kesini lagi soalnya udah lebih mantep;['pengen', 'kesini', 'lagi', 'soalnya', 'udah', 'lebih', 'mantep'];['pengin', 'kesini', 'lagi', 'soalnya', 'sudah', 'lebih', 'mantap'];['pengin', 'kesini', 'mantap'];['tmptnya', 'lumayan', 'okview', 'ok']
Tmptnya lumayan ok....view ok;Tmptnya lumayan okview ok;['tmptnya', 'lumayan', 'okview', 'ok'];['tmptnya', 'lumayan', 'okview', 'ok'];['tmptnya', 'lumayan', 'okview', 'ok'];['luas', 'laut']
Luas sekali lautnya;Luas sekali lautnya;['luas', 'sekali', 'lautnya'];['luas', 'sekali', 'lautnya'];['luas', 'lautnya'];['rekomandasi', 'libur']
rekomandasi tempat liburan;rekomandasi tempat liburan;['rekomandasi', 'tempat', 'liburan'];['rekomandasi', 'tempat', 'liburan'];['rekomandasi', 'liburan'];['jebur', 'sana', 'wkwk']
Rasanya aku ingin jeburan disana wkwk;Rasanya aku ingin jeburan disana wkwk;['rasanya', 'aku', 'ingin', 'jeburan', 'disana', 'wkwk'];['rasanya', 'aku', 'ingin', 'jeburan', 'disana', 'wkwk'];['jeburan', 'disana', 'wkwk'];['air', 'terjun', 'cocok', 'short', 'vacation']
Air terjun yang cocok untuk short vacation;Air terjun yang cocok untuk short vacation;['air', 'terjun', 'yang', 'cocok', 'untuk', 'short', 'vacation'];['air', 'terjun', 'yang', 'cocok', 'untuk', 'short', 'vacation'];['air', 'terjun', 'cocok', 'short', 'vacation'];['air', 'jernih', 'banget']
Airnya jernih banget :);Airnya jernih banget;['airnya', 'jernih', 'banget'];['airnya', 'jernih', 'banget'];['airnya', 'jernih', 'banget'];['tingkat', 'pelihara']
Lebih di tingkatkan lagi pemeliharaannya.;Lebih di tingkatkan lagi pemeliharaannya;['lebih', 'di', 'tingkatkan', 'lagi', 'pemeliharaannya'];['lebih', 'di', 'tingkatkan', 'lagi', 'pemeliharaannya'];['tingkatkan', 'pemeliharaannya'];['adem']
adem;adem;['adem'];['adem'];['adem'];['indanya', 'pandang']
Indanya pemandangan nya;Indanya pemandangan nya;['indanya', 'pemandangan', 'nya'];['indanya', 'pemandangan', 'nya'];['indanya', 'pemandangan'];['parkir', 'mobil']
Parkir mobil enggak ada;Parkir mobil enggak ada;['parkir', 'mobil', 'enggak', 'ada'];['parkir', 'mobil', 'enggak', 'ada'];['parkir', 'mobil'];['suka', 'pantai']
Biasa aja;Biasa aja;['biasa', 'aja'];['biasa', 'saja'];[];['nyaman', 'sejuk']
Saya suka pantai,;Saya suka pantai;['saya', 'suka', 'pantai'];['saya', 'suka', 'pantai'];['suka', 'pantai'];['hibur']
sangat nyaman dan sejuk;sangat nyaman dan sejuk;['sangat', 'nyaman', 'dan', 'sejuk'];['sangat', 'nyaman', 'dan', 'sejuk'];['nyaman', 'sejuk'];['lumayan', 'sempit']
Buat menghibur dri sendri;Buat menghibur dri sendri;['buat', 'menghibur', 'dri', 'sendri'];['buat', 'menghibur', 'dari', 'sendiri'];['menghibur'];['mantapsss']
Lumayan meski sempit;Lumayan meski sempit;['lumayan', 'meski', 'sempit'];['lumayan', 'meski', 'sempit'];['lumayan', 'sempit'];['suka']
Mantapsss;Mantapsss;['mantapsss'];['mantapsss'];['mantapsss'];['tempat', 'menimbah', 'ilmu']
